description,category
"Unbrako Hex Head Bolt/Screw Inch UNC 1 1/4"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 19 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M52 Hot Forged High Tensile Precision Hexagonal Head Screw, Grade 8.8 & 10.9. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
M20 Stainless Steel 202 Grade Hex Bolt. Available in lengths from 40mm to 100mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"TVS M6 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel M14 Hex Bolt. Cold forged, metric thread. Higher corrosion resistance than 304, suitable for chloride-rich environments, marine and chemical applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Inch UNC 1/4"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 19 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel 3/8"" BSW Hex Bolt. British Standard Whitworth thread. Corrosion resistant stainless steel. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M6 Hex Bolt. Cold forged, metric thread. Conforms to IS:1364 / DIN 931 / DIN 933. Corrosion resistant, suitable for marine, food, and general industrial applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"Unbrako High Tensile Track Shoe Bolts and Square Nuts, Property Class 12.9. Compatible with L&T Poclain earthmovers. MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M48 Hot Forged High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
